"video_id_seq","V2"
"XUBeH7VQaFY","Omg the time when starbucks open a roastery flagship store in indonesia, it&#39;s gonna be like a mf coffee war here."
"XUBeH7VQaFY","Didn&#39;t know the connection to Peet&#39;s, which I vastly prefer to Bucky&#39;s. But I&#39;ll drink instant coffee in a pinch."
"XUBeH7VQaFY","Starbucks overated.. rubbish taste ... And expensive."
"XUBeH7VQaFY","CNBC, Please stop these robot-like, high-speed, shrill-voiced deliveries with annoying pumped-up music  and sped-up videos that make us go nuts. Thanks in anticipation of your future consideration for the viewer / listener."
"XUBeH7VQaFY","Tim Horton’s is the dominant coffee chain"
"XUBeH7VQaFY","Shanghai has most Starbucks in the world."
"XUBeH7VQaFY","My new found favor - Circle K cold brew and Americano mix. $0.99 refill price can’t beat that."
"XUBeH7VQaFY","all the comments are saying starbucks is successful because of &quot;white girls&quot; but this cant be further from the truth. as a starbucks barista, I would say almost all of the people I see are your average 20-60 year olds working normal, middle class jobs, who are all caffeine addicted. starbucks really makes it&#39;s money by profiting off of the widespread caffeine addiction we all have due to lack of sleep from school and working 9-5. we see just as many males as we do females, just as many ethnic people as we do non ethnic, even people who dont like coffee but come in for a tea or juice or small pastry. starbucks is not limited to just one demographic and if you really think white girls are why starbucks is popular or that starbucks is a &quot;white people&quot; thing then you&#39;re just ignorant"
"XUBeH7VQaFY","Idk <br /><br /><br />Wi-Fi?"
"XUBeH7VQaFY","Starbucks isn’t my cup of tea here in London, Pret or Costa tops for me"
"XUBeH7VQaFY","EKSpresso and eKSpresso machines?"
"XUBeH7VQaFY","But can anyone pls explain how it won over other thousand coffee shops"
"XUBeH7VQaFY","&quot;racist&quot; coffee power house  .  that coffe our ancestors were enslaved and suffered   to make it grow  .  black people should drink coffee for free"
"XUBeH7VQaFY","it&#39;s es-presso NOT expresso ffs"
"XUBeH7VQaFY","Starbucks  nah , Turkish coffee only"
"XUBeH7VQaFY","Well coffee is one of the most used addictive substance on the planet.. so that could’ve played a part<U+0001F937><U+0001F3FC><U+200D><U+2642><U+FE0F>"
"XUBeH7VQaFY","57% is 2 thirds? Its not even close, thats like 10% off"
"XUBeH7VQaFY","easy, mixed in sugar and coffee addictions + underpaid staff + social proof = WIN"
"XUBeH7VQaFY","Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks Starbucks sucks"
"XUBeH7VQaFY","Too bad they don&#39;t serve hot coffee."
"XUBeH7VQaFY","Can you imagine  how many are spiked"
"XUBeH7VQaFY","I work in downtown DC, there’s 4 Starbucks shops, each one block away from each other. This new idea of a roastery sounds interesting, perhaps they should stop focusing on opening stores and pay more attention to the experience of the customers, who just buy Starbucks out of convenience of location but nothing else. Personally, I feel it’s overpriced and I rather buy a cup of coffee from a local coffee shop."
"XUBeH7VQaFY","coffee: 2$<br /><b>C</b> <b>O</b> <b>F</b> <b>F</b> <b>E</b> <b>E</b> : 20$ + tip"
"XUBeH7VQaFY","they put more caffeine to get you addicted"
"XUBeH7VQaFY","Starbucks is great and all but Caribou Coffee is the best."
"XUBeH7VQaFY","I cringed when she said expresso. It’s espresso!!! How do people not know how to pronounce it?"
"XUBeH7VQaFY","Howard Schultz also owned the NBA Seattle SuperSonics and the WNBA Seattle Storm from 2001-2006."
"XUBeH7VQaFY","Not a single Starbucks in my country."
"XUBeH7VQaFY","Music was entirely too loud, but commentary and script was good"
"XUBeH7VQaFY","Howard Schultz claims he doesn&#39;t see color oh, well he doesn&#39;t see color he doesn&#39;t see me. The whole purpose of the racial training was to focus on actually seeing the people that support your product yet the leader  never understood the training that he provide for  the staff."
"XUBeH7VQaFY","Starbucks is like Apple. Middle class to rich people get them just to flaunt around"
"XUBeH7VQaFY","<U+0001F644> The Apple company of coffee."
"XUBeH7VQaFY","I would truly imagine that someone reporting on a coffee company would know how to pronounce the word espresso....."
"XUBeH7VQaFY","I love starbucks <U+2764><U+FE0F><U+0001F44D><U+0001F3FE>"
"XUBeH7VQaFY","Anyone else bothered by her monotonous tone?"
"XUBeH7VQaFY","baristas saved the Starbucks"
"XUBeH7VQaFY","&quot;Expresso&quot; its called &quot;espresso&quot;"
"XUBeH7VQaFY","Apple.. Starbucks.. all the same, they are marketing companies and nothing more. They can sell you inferior products than their competitors for double the price."
"XUBeH7VQaFY","Starbucks coffee sucks... it&#39;s too light."
"XUBeH7VQaFY","but it fails in australia if i´m not wrong"
