id,title,publication_date,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,url
#NAME?,We Tried A Grilled Cheese Toaster,2018-06-12T16:00:00.000Z,94123,1270,168,0,179,https://www.youtube.com/watch?v=-CYvNYOq_NQ
#NAME?,Cheesiest Burger In London,2018-02-19T18:00:02.000Z,111157,1193,34,0,84,https://www.youtube.com/watch?v=-l85SpdIAl8
#NAME?,The Internet Couldn't Get Enough Of These Foods In 2017,2017-12-04T21:19:54.000Z,207265,2961,82,0,179,https://www.youtube.com/watch?v=-ntjwim7Hr4
#NAME?,Coppia Ferrarese Is A Cross-Shaped Italian Bread,2018-10-13T20:00:00.000Z,30159,414,13,0,127,https://www.youtube.com/watch?v=-W26tqQU3PA
#NAME?,Dominique Ansel Bakery Has Garden-Themed Afternoon Tea,2018-05-12T16:00:01.000Z,66401,1350,17,0,63,https://www.youtube.com/watch?v=-Yg1GJUT2BQ
#NAME?,Taco Bell Secret Menu: The Incredible Hulk Burrito | Fast Food Secret Menus,2018-11-29T17:00:01.000Z,145604,1849,159,0,182,https://www.youtube.com/watch?v=-yg2lKSkfpg
#NAME?,Pizza Served With A Mountain Of Cold Cheese,2017-12-13T15:29:31.000Z,315244,2438,536,0,626,https://www.youtube.com/watch?v=-ZM_eZj0IZ8
_3IIA7bN1As,We Tried Moe's Spiciest Salsa Made With Ghost Peppers,2018-07-05T16:00:06.000Z,61836,881,34,0,118,https://www.youtube.com/watch?v=_3IIA7bN1As
_b1ykLA6krw,Put Any Food Under This Chocolate Fountain,2017-11-14T21:00:01.000Z,260676,2427,68,0,431,https://www.youtube.com/watch?v=_b1ykLA6krw
_HY3DjGXnYk,Machine Spits Out Korean Potato Noodles,2018-07-26T16:00:05.000Z,51850,758,39,0,200,https://www.youtube.com/watch?v=_HY3DjGXnYk
_OWQ0foN-s4,Giant Pizza Bagels Are The Ultimate Combination,2018-01-17T17:00:04.000Z,74346,1116,30,0,73,https://www.youtube.com/watch?v=_OWQ0foN-s4
_W2anpECYNQ,The Best Thing To Order At NYC's New Favorite Chocolate Shop | Best Thing On The Menu,2018-12-19T17:00:05.000Z,135184,2030,82,0,161,https://www.youtube.com/watch?v=_W2anpECYNQ
