"authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"Callie Masters","https://yt3.ggpht.com/-WZLKRPRcpGA/AAAAAAAAAAI/AAAAAAAAAAA/FDjy3OzTEY4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCNlRakGbTfwMwezLEIPdKKw","UCNlRakGbTfwMwezLEIPdKKw","jf0ZtZ8CVkk","How much does it cost? It looks overpriced.","How much does it cost? It looks overpriced.","TRUE","none","0","2019-03-15T03:14:31.000Z","2019-03-15T03:14:31.000Z","UgzuFg_Kgn3_EA5jqct4AaABAg",NA,NA
"Frida Zala Fabjancic","https://yt3.ggpht.com/-D_5C1aHW8lE/AAAAAAAAAAI/AAAAAAAAAAA/qxK_9n-2P_c/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCQqV-XTjl9i-dOuhVrTIx_Q","UCQqV-XTjl9i-dOuhVrTIx_Q","jf0ZtZ8CVkk","i&#39;m from slovenia (near italy) and we don&#39;t have a starbucks there. i&#39;m so mad at everyone who doesn&#39;t mind about that! we need starbucks!","i'm from slovenia (near italy) and we don't have a starbucks there. i'm so mad at everyone who doesn't mind about that! we need starbucks!","TRUE","none","0","2019-03-14T17:34:32.000Z","2019-03-14T17:34:32.000Z","UgxiNksNqveVqDKFDYx4AaABAg",NA,NA
"Chris Dewa","https://yt3.ggpht.com/-CAiTmgEQcFY/AAAAAAAAAAI/AAAAAAAAAAA/vmVqYRYJYQc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC9YkBo9b-bHBKJOIPtmh1Tg","UC9YkBo9b-bHBKJOIPtmh1Tg","jf0ZtZ8CVkk","When they have a bunch of money, BOOM!! <U+0001F923><U+0001F923>","When they have a bunch of money, BOOM!! <U+0001F923><U+0001F923>","TRUE","none","0","2019-03-14T17:06:24.000Z","2019-03-14T17:06:24.000Z","UgyGOhetDUbkfr1-Gud4AaABAg",NA,NA
"Joel LeBlanc","https://yt3.ggpht.com/-fUUcGanHlTo/AAAAAAAAAAI/AAAAAAAAAAA/fEpGfvD9DYU/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCf6iWkSla1QLloRKZHBjRFQ","UCf6iWkSla1QLloRKZHBjRFQ","jf0ZtZ8CVkk","If every starbucks was like this starbucks, the world would be a better place.","If every starbucks was like this starbucks, the world would be a better place.","TRUE","none","0","2019-03-13T23:31:43.000Z","2019-03-13T23:31:43.000Z","UgxdE-wXCwFFckTpM-R4AaABAg",NA,NA
"<U+8D3E><U+5362><U+5361>","https://yt3.ggpht.com/-hzi25TPw_W8/AAAAAAAAAAI/AAAAAAAAAAA/k52l_bVKFD0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC3xtG3gAHyOkY6NJjOjr5Hw","UC3xtG3gAHyOkY6NJjOjr5Hw","jf0ZtZ8CVkk","C’mon this is pissin me off. We have 4 Starbucks in Milan: one in Malpensa airport , one in San Babila square , one in Corso Como and yes the roastery","C’mon this is pissin me off. We have 4 Starbucks in Milan: one in Malpensa airport , one in San Babila square , one in Corso Como and yes the roastery","TRUE","none","0","2019-03-13T19:48:44.000Z","2019-03-13T19:48:44.000Z","UgzjBtS8monoqaFP6jB4AaABAg",NA,NA
"chad lutin","https://yt3.ggpht.com/-WxdITrblyZs/AAAAAAAAAAI/AAAAAAAAAAA/7ikBjtWK1jE/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC4TMEh2eSlCaoqIWuRBcU-A","UC4TMEh2eSlCaoqIWuRBcU-A","jf0ZtZ8CVkk","<b>*White girls want to know your location*</b>","**White girls want to know your location**","TRUE","none","0","2019-03-13T18:09:34.000Z","2019-03-13T18:09:34.000Z","UgyTHMX9dvmPx9hcCtx4AaABAg",NA,NA
"A l","https://yt3.ggpht.com/-md863CMbakk/AAAAAAAAAAI/AAAAAAAAAAA/NBMn-gqr4Bw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC4DVw8CafehFodGUW0rqhvQ","UC4DVw8CafehFodGUW0rqhvQ","jf0ZtZ8CVkk","It&#39;s better than the one in the US but it&#39;s still lower quality than the average Milan coffee. There are 2 other Starbucks in Milan btw.","It's better than the one in the US but it's still lower quality than the average Milan coffee. There are 2 other Starbucks in Milan btw.","TRUE","none","1","2019-03-13T15:55:35.000Z","2019-03-13T15:55:35.000Z","UgyY_nzVA04nUjz8jbB4AaABAg",NA,NA
"Karen Tanoyo","https://yt3.ggpht.com/-nLAOWMMiceg/AAAAAAAAAAI/AAAAAAAAAAA/1HpQNUdnV-o/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCDOHGLRxC1vrCOn2oqFl4Vg","UCDOHGLRxC1vrCOn2oqFl4Vg","jf0ZtZ8CVkk","that aint a starbucks tf","that aint a starbucks tf","TRUE","none","0","2019-03-13T10:19:02.000Z","2019-03-13T10:19:02.000Z","UgzE1oD_kG5BgrmX99F4AaABAg",NA,NA
"Kanaya Abigail","https://yt3.ggpht.com/-o8bJ_yJRYno/AAAAAAAAAAI/AAAAAAAAAAA/tTE9GuaIcDQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCuC0sSE3r9YRlgN9xPPb0Sg","UCuC0sSE3r9YRlgN9xPPb0Sg","jf0ZtZ8CVkk","<a href=\"https://www.youtube.com/watch?v=jf0ZtZ8CVkk&amp;t=0m24s\">0:24</a> A LADY WAVE TO THE CAMERA","0:24 A LADY WAVE TO THE CAMERA","TRUE","none","0","2019-03-13T09:10:20.000Z","2019-03-13T09:10:20.000Z","Ugxd6eFBYkqgvvvq_sV4AaABAg",NA,NA
"Oliver Ruiz","https://yt3.ggpht.com/-g2oIV18ZcrM/AAAAAAAAAAI/AAAAAAAAAAA/tCiPnH_iM-A/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC2k36GAspjSRkiNIeYUl_lQ","UC2k36GAspjSRkiNIeYUl_lQ","jf0ZtZ8CVkk","I&#39;m Italian and live in Milan, what Food Insider says is not true, we already have 3 regular Starbucks locations in Milan, with many more to come across Italy. And we are so happy about it. Welcome to Italy, Starbucks!","I'm Italian and live in Milan, what Food Insider says is not true, we already have 3 regular Starbucks locations in Milan, with many more to come across Italy. And we are so happy about it. Welcome to Italy, Starbucks!","TRUE","none","0","2019-03-13T09:00:50.000Z","2019-03-13T09:00:50.000Z","UgzFQuZvkxy832_uyDx4AaABAg",NA,NA
